time,x,y
1.045,-1.6711929148977036,0.04555178475573332
1.146,-1.6711929149151865,0.04555178476309697
1.245,-1.6711929149328755,0.04555178477025649
1.345,-1.671192914950575,0.04555178477738964
1.448,-1.6711929149682705,0.04555178478452085
1.5470000000000002,-1.6711929149859521,0.045551784791650674
1.649,-1.6711929150036215,0.045551784798774954
1.745,-1.6711929150212834,0.045551784805901094
1.845,-1.6711929150389273,0.04555178481302166
1.9449999999999998,-1.6711929150565659,0.045551784820143826
2.045,-1.6711929150741867,0.045551784827260675
2.145,-1.6711929150918012,0.045551784834376406
2.248,-1.6711929151094012,0.04555178484149108
2.3449999999999998,-1.6711929151269895,0.045551784848600604
2.445,-1.6711929151445695,0.04555178485571196
2.545,-1.6711929151621325,0.045551784862817496
2.645,-1.6711929151796907,0.04555178486992484
2.746,-1.6711929151972298,0.045551784877026824
2.8449999999999998,-1.6711929152147635,0.045551784884127255
2.945,-1.6711929152322833,0.04555178489122706
3.045,-1.6711929152497909,0.045551784898321894
3.145,-1.6711929152672902,0.045551784905418745
3.246,-1.6711929152847727,0.04555178491250906
3.3449999999999998,-1.6711929153022507,0.04555178491960131
3.451,-1.6711929153197098,0.045551784926688724
3.55,-1.6711929153371627,0.04555178493377394
3.645,-1.6711929153546028,0.045551784940859326
3.745,-1.6711929153720295,0.04555178494793952
3.847,-1.671192915389449,0.04555178495502202
3.947,-1.671192915400935,0.04555178495969238
4.049,-1.6711929154242489,0.045551784969174634
4.154,-1.6711929154416285,0.04555178497624806
4.245,-1.6711929154590008,0.04555178498331826
4.345,-1.6711929154763618,0.04555178499038953
4.445,-1.6711929154937082,0.04555178499745527
4.547,-1.6711929155110483,0.04555178500452302
4.647,-1.6711929155283707,0.045551785011584384
4.756,-1.6711929155456884,0.045551785018645624
4.85,-1.6711929155629903,0.04555178502570529
4.945,-1.671192915580282,0.045551785032760736
5.045,-1.6711929155975647,0.0455517850398177
5.145,-1.6711929156148309,0.04555178504686887
5.245,-1.6711929156320924,0.0455517850539217
5.35,-1.6711929156493355,0.04555178506096951
5.445,-1.6711929156665728,0.04555178506801519
5.549,-1.671192915683798,0.04555178507506107
5.645,-1.671192915701009,0.04555178508210195
5.749,-1.6711929157182133,0.045551785089144876
5.845,-1.6711929157354006,0.04555178509618133
5.945,-1.671192915752583,0.045551785103218514
6.05,-1.6711929157697492,0.0455517851102532
6.148,-1.671192915786906,0.04555178511728348
6.245,-1.6711929158040544,0.045551785124315666
6.345,-1.671192915821186,0.0455517851313422
6.446,-1.6711929158383123,0.04555178513837034
6.553,-1.6711929158554217,0.04555178514539349
6.645,-1.6711929158725243,0.04555178515241442
6.745,-1.6711929158896155,0.04555178515943589
6.845,-1.6711929159066918,0.0455517851664516
6.951,-1.671192915923763,0.0455517851734695
7.045,-1.6711929159408163,0.045551785180481946
7.15,-1.6711929159578645,0.04555178518749436
7.245,-1.6711929159748977,0.045551785194504896
7.348,-1.67119291599192,0.045551785201510084
7.446,-1.671192916008936,0.04555178520851756
7.545,-1.6711929160259336,0.04555178521551971
7.656,-1.6711929160429266,0.045551785222522866
7.749,-1.6711929160599035,0.04555178522952251
7.845,-1.6711929160768715,0.045551785236519066
7.945,-1.671192916093831,0.0455517852435167
8.048,-1.6711929161107737,0.045551785250507904
8.153,-1.671192916127713,0.04555178525750053
8.245,-1.6711929161446342,0.04555178526448946
8.345,-1.671192916161548,0.04555178527147627
8.445,-1.6711929161784516,0.04555178527846373
8.546,-1.67119291619534,0.04555178528544479
8.645,-1.6711929162122248,0.04555178529242759
8.745,-1.6711929162290906,0.045551785299406206
8.845,-1.6711929162459505,0.0455517853063825
8.946,-1.671192916262799,0.04555178531335952
9.046,-1.6711929162796333,0.04555178532033143
9.146,-1.6711929162964623,0.04555178532730509
9.246,-1.6711929163132735,0.04555178533427298
9.345,-1.6711929163300794,0.04555178534123919
9.445,-1.6711929163468733,0.045551785348205906
9.546,-1.6711929163636532,0.04555178535516766
9.646,-1.6711929163747263,0.04555178535976388
9.746,-1.6711929163971848,0.04555178536908944
9.849,-1.6711929164139363,0.04555178537604703
9.946,-1.6711929164306751,0.045551785383003834
10.05,-1.6711929164474013,0.04555178538995469
10.145,-1.6711929164641222,0.045551785396907976
10.245,-1.671192916480825,0.04555178540385635
10.345,-1.6711929164975226,0.04555178541080443
10.445,-1.6711929165142063,0.04555178541775109
